transaction_id,customer_id,product_id,quantity,timestamp
ae6f06a5-97c0-4a74-8d5c-a1642046a8c9,ecc92953-58ce-4a64-a2f6-247f3e17ef78,Home & Kitchen_HP_TV,2,2023-08-08 16:03:24
ea50f0ed-14cf-468a-b766-ed31cef67cef,a2650e7b-62ec-47db-a203-1083d9d0a91c,Sports & Outdoors_Adidas_Smartphone,20,2024-03-23 16:50:03
bcb92588-aa4d-4ec1-9921-468d20c8240c,041e522b-a129-482c-8c19-498a73f28240,Home & Kitchen_Dell_TV,24,2023-08-30 01:33:36
69a22701-b546-43cd-8b2b-7a0058faf651,bf37a983-2659-480b-acc8-e17aeb6c0ad3,Sports & Outdoors_Sony_Shoes,,2023-09-17 17:37:30
167db451-46e3-46a8-ab69-89090a376e18,46ab45a1-e7ea-499d-ad3a-32f7a9c90604,Toys_Nike_T-shirt,16,2024-03-25 10:04:56
a3b59888-c7fc-49cc-9684-8218c6310995,cbe8b2b1-679c-4052-a943-edec78fe8db5,Electronics_Canon_Laptop,15,2024-03-27 05:26:16
59d3faa4-1ab4-4071-a4bd-b29cfd477133,ef3dcf7f-a0c4-4fe1-86d2-be224323315a,Home & Kitchen_Nike_Shoes,7,2024-03-25 16:44:31
424ac3e0-8a3f-4e2a-94a1-f4b08352390f,eb5ee5f5-da49-4fa2-bcc4-665564e5bb63,Electronics_Samsung_T-shirt,43,2024-03-24 00:38:13
fba89dd9-792d-4cca-ae1d-d6fafc6ad608,738e3e7d-454d-4daf-9168-ff0bbd1b5599,Home & Kitchen_Apple_T-shirt,8,2024-03-12 07:30:55
15c4fad4-7fa4-4920-a4f1-e23902d7546a,b35c534d-49b9-4166-9f03-2a9a3db65910,Books_Samsung_Toy,13,2023-12-06 21:26:30
782e96b4-3ba9-44b1-ad17-4e20ba051a48,0abb4778-5578-457d-9bb1-33866e381c32,Home & Kitchen_Sony_Laptop,48,2024-03-24 09:21:29
3c65703c-6c1a-47bc-8b00-f03afdd6698a,e8d42154-36e3-4e8e-ae7c-e3bab28d49b1,Sports & Outdoors_Dell_Headphones,7,2024-03-16 09:57:14
68db10cb-11d3-4190-8de8-fed792b7e4e8,c772d68a-9bc5-4e48-84d9-1caccf31fd02,Toys_LG_Smartphone,5,2024-03-22 12:09:07
fe628415-b7b3-408a-87c5-1ba8b005df4e,ccff73df-8a1e-4deb-b4e5-6a94fa06b5b9,Electronics_Canon_TV,2,2023-04-23 10:33:41
a7e1c8dc-37e9-424e-83f5-16c2c656ccdc,d48cce5c-c9db-4971-91b9-50e7167efdc4,Toys_Samsung_Smartphone,18,2024-03-25 00:51:32
f3e03099-cda8-4662-8d98-38d161d151b5,1c9d8077-42dc-443b-911f-423de7bf8648,Home & Kitchen_Dell_Cookware,6,2023-12-26 10:19:28
