transaction_id,customer_id,product_id,quantity,timestamp
105edabe-78ed-4c4d-837b-3e9255015c39,6b4bd13d-9f14-474a-a21c-25f3c063e2a8,Home & Kitchen_Samsung_Cookware,,2024-04-02 19:39:02
6d4b2548-fffe-4579-abc8-25cd3ef4dd2a,122e7322-d0a9-4249-aeab-b1d844c731c7,Books_Canon_Cookware,7,2024-04-04 21:56:32
3da3cd8a-ea84-4c32-93ae-8248af0d5fce,7c167b07-c1b9-44fd-8168-9b899a8fc979,Sports & Outdoors_Nike_Toy,9,2024-04-03 00:37:30
df0f3462-020d-423e-bb62-4dbdcde5fea0,87410542-b0b2-4ff8-ad67-3bf0573f6519,Clothing_LG_Shoes,18,2024-04-04 09:01:23
95b327dc-c99a-4d6f-a453-806e53163cc6,75c8db6c-6213-43b9-a30b-4a7eccdad5d7,Electronics_Nike_Headphones,13,2024-04-01 01:21:18
8f80e871-1be2-4c86-8b12-17741f11bd58,b2f1d2fd-dc2d-4ba9-9fa1-23add7ed37ed,Toys_Dell_Laptop,25,2023-08-05 18:45:01
c28e2dd1-85cf-4a76-b401-343a6428a83b,eacefcc7-0133-40ce-8f51-e69d41389d8e,Electronics_Apple_Laptop,19,2024-04-02 23:08:12
703d4fc1-c7a0-4227-b906-5bafd8bed86f,b595defb-52a9-4559-84c1-908abbd3cf2d,Toys_LG_Book,22,2024-03-30 11:19:12
80a10b0e-fd57-4e85-857f-105db4c11714,4b87dd2e-a2a4-4960-9e04-cbdeac968470,Clothing_Adidas_TV,15,2024-04-04 20:00:25
5844e4d6-8ea7-4805-9912-6d64ffb6e268,88a1faf0-1f0f-4cc2-ab6d-b312696ebb86,Home & Kitchen_Adidas_Toy,3,2024-04-05 01:07:30
129f553a-2e5b-4a88-b704-17e102436778,f3795373-6cb3-4135-8596-d44e1e3456ca,Clothing_Apple_Smartphone,N/A,2024-04-03 10:15:02
e8939a81-d69e-4929-a061-075290c24c20,768f692b-5145-4ef3-8cc7-45459a040a24,Clothing_Nike_Smartphone,8,2024-03-30 23:27:24
11dabdff-b189-46f6-b4ba-0a7159ab4710,16ff85fb-9e40-436d-b29e-55322f563f17,Toys_Adidas_Cookware,31,2024-04-04 20:36:03
9056aa09-25c3-4628-b246-452e9c62973c,5bf53d52-1468-407e-a425-e9fd476e4c4c,Electronics_LG_Headphones,13,2024-04-01 13:26:21
0f126d8a-b97f-47fd-8ee2-564c62642634,bfdbe0ee-cc93-4fe9-baa8-ef4a68d903a0,Books_Adidas_TV,3,2024-04-04 14:08:00
b94adb16-fceb-479b-b049-d242ad3a9a17,3637e396-7183-4102-97d8-15ba3591854c,Clothing_AmazonBasics_Toy,NA,2023-04-24 03:50:21
d97f272b-6b91-40dc-a108-d9837246473d,fae380d1-e0be-4bd4-8814-49e4882b6319,Home & Kitchen_Apple_Book,21,2024-03-30 07:38:39
b8e0461d-f8b5-497f-a887-c2d967760820,dd628a12-2336-44ed-a158-a830d2eb9c61,Clothing_Apple_Laptop,NA,2024-03-31 10:45:22
2df02f61-0ebd-42d6-8558-c4632eadd299,a4c9927f-7177-4a4d-bb8d-fb447dddae6a,Electronics_LG_Cookware,14,2023-11-13 09:53:01
bdfc7535-f07d-4115-9a55-f02b0266d339,1234ef08-df3e-4a88-bbe6-b7d86cc8daab,Toys_Adidas_Laptop,28,2024-04-02 17:21:25
468ec394-6d3b-4021-90fc-13c057853abe,2bd94037-ca29-4a09-b495-1a2e6b13c16a,Sports & Outdoors_Dell_Cookware,12,2024-04-01 21:12:36
aebd7066-d377-4e28-9294-2fb692364431,876c432d-8893-4a20-ad61-ee70d1778c2a,Electronics_Canon_Shoes,13,2024-04-02 22:36:08
652efb86-8cf3-46a6-8d81-c2bc7d7c5249,89fc7b5a-5913-4079-a870-49f05a30ca46,Clothing_Dell_T-shirt,8,2024-01-09 15:28:22
f140c3fd-0f5b-4ef0-ba4b-d5e02f19e837,80f95f55-22e4-4378-b411-c4ee4fd98fbf,Home & Kitchen_Adidas_Headphones,13,2024-03-31 10:14:50
2b62defa-e3dd-45c3-b017-a39b4b5c14a4,6cee08d5-915b-4d1e-b4b6-c4754ddb3207,Books_AmazonBasics_T-shirt,5,2024-04-01 06:18:44
516b66a9-e91c-4426-8769-029fe8af6aeb,c8917978-2ee7-4d85-9e77-8147c60dc4fc,Sports & Outdoors_Apple_Cookware,15,2024-03-31 06:59:17
10f6700e-111f-4698-a134-e0b59eb2b7c0,87966516-68c0-4d2a-8933-29e4b9645ed9,Sports & Outdoors_Dell_Headphones,15,2023-11-06 21:28:49
