9a6dd8a1-e47d-454b-8cf1-bd8bb9aadbd6,e0217670-008d-47fa-a800-84bd366c658e,f0ae4968-880e-4ad2-ba3d-3885b135bc05,2023-11-05,305.7,In-store
a59f3d2d-5ac5-42b7-aa66-441c5117196c,a1f88c34-a42a-4192-ad1c-8835f5a2d547,1f59d36b-02a6-44b9-810c-291cc93c0be7,2023-09-25,992.53,In-store
20c2f499-bf15-42f0-928c-c0d67fcac6d5,44536a19-1f47-48aa-b4a3-6378df3d5346,452b21f9-4462-4b67-a370-bb29a0555f12,2023-08-04,714.06,Mobile App
66d106d7-94cb-47ca-9add-48e92b020bcb,4d2ea834-8061-49c7-82ab-c45e2b00176b,288efba9-5f41-415b-9267-0e37dbf40481,2023-05-16,738.22,Online
1a7a6be5-a5c8-4aab-a3de-0dd440da2df3,bf0ff805-ea12-4557-9ecf-705ff54951cf,e91f7013-12b0-4148-9d95-33de9ec056f0,2023-12-16,649.15,In-store
db00abe9-97c3-4692-8968-00c677249c9c,1e2ff306-a34e-453c-a828-0dcfe635268f,fa2ed35e-81bd-4401-9259-83e0f31a8526,2023-07-31,918.6,In-store
8df244d2-be21-4e8b-834c-7656f46d5984,19032b07-72af-4248-b4f3-d069cb7ea090,1f59d36b-02a6-44b9-810c-291cc93c0be7,2023-12-13,307.43,Online
29129b9f-bfe6-4060-bb54-754ffd9aae22,87a954c3-0af2-4605-b9c7-21bc461fb6e2,fc33cb14-708b-4896-9695-6213c1537034,2023-10-19,407.38,In-store
80888c5a-e104-4bac-903e-2431ac25bb32,fb5f5812-ffc7-469a-8e3b-457ef1276486,5cfac2b4-8650-4c4c-a824-540b4bd890af,2024-02-16,772.27,Mobile App
fcc87205-4d5d-420d-9aed-77b957e92d97,2d7b8549-847f-4679-b500-8770240bd621,452b21f9-4462-4b67-a370-bb29a0555f12,2023-12-29,774.4,Mobile App
01e9b551-9ac1-45a8-bee1-80e09e0ff21e,ed38f3b3-6880-432f-bca0-26956b635a38,452b21f9-4462-4b67-a370-bb29a0555f12,2024-02-04,547.27,In-store
f346dd06-19f0-42e5-94c8-2b7b479ecba7,40229d90-4327-4f27-972f-13243fd6823f,ca3c88b1-f978-42dc-a486-cf82823f9bc9,2023-09-22,163.17,Online
821d91fb-7e38-421e-8ed7-aa113504f28b,f24cfa0c-2c02-4abe-95aa-c7773decc8f9,c01e0f23-c46a-4332-8405-2daab8d3e4fb,2023-04-24,828.72,Online
8fc7e69e-e76a-4e68-ad04-eadf3e1278e9,566e6f55-bf7b-4125-a6e9-1c16812f4344,85159b60-7345-450e-86f8-faa6b600e7af,2023-09-25,182.79,Online
